Urbanized area,Population growth (%),Freeway lane-miles growth (%),Growth in delay (%)
"Laredo, TX",104,1,1309
"Brownsville, TX",73,287,1230
"Bakersfield, CA",67,39,699
"McAllen, TX",186,79,510
"Austin, TX",125,98,461
"Little Rock, AR",48,85,454
"Boise, ID",117,141,446
"Indio, CA",63,211,446
"Winston, NC",68,123,393
"Cape Coral, FL",138,413,381
"Baton Rouge, LA",62,75,337
"Beaumont, TX",40,266,332
"Oxnard, CA",45,-646,331
"Nashville, TN",101,107,329
"Charlotte, NC",116,226,326
"Columbia, SC",74,54,325
"Jackson, MS",9,71,317
"Denver, CO",66,51,310
"Madison, WI",39,95,293
"Raleigh, NC",82,195,286
"Albany, NY",24,12,285
"Salt Lake City, UT",38,16,279
"Las Vegas, NV",121,142,265
"Portland, OR",61,22,252
"Provo, UT",59,103,252
"Knoxville, TN",89,65,251
"Oklahoma City, OK",39,19,250
"Boulder, CO",53,27,238
"Stockton, CA",32,43,234
"Pensacola, FL",39,112,233
"Greensboro, NC",40,169,232
"Lancaster, CA",46,122,232
"Omaha, NE",45,146,231
"Richmond, VA",45,106,230
"San Antonio, TX",60,37,228
"Sacramento, CA",54,32,226
"Phoenix, AZ",93,203,225
"Houston, TX",77,28,221
"Orlando, FL",75,151,221
"Poughkeepsie, NY",24,277,220
"San Jose, CA",29,-21,220
"Birmingham, AL",24,37,213
"Riverside, CA",49,58,209
"Colorado Springs, CO",73,96,200
"Anchorage, AK",38,-45,196
"Indianapolis, IN",67,48,195
"Bridgeport, CT",33,106,186
"Miami, FL",48,294,186
"Salem, OR",49,50,186
"Corpus Christi, TX",17,17,184
"Grand Rapids, MI",37,55,181
"Worcester, MA",27,62,178
"Buffalo, NY",-12,1,175
"San Diego, CA",26,22,175
"Tucson, AZ",48,132,172
"Charleston, SC",52,35,171
"Fresno, CA",40,90,171
"Minneapolis, MN",35,34,168
"Columbus, OH",52,34,167
"Jacksonville, FL",49,82,167
"Providence, RI",7,41,166
"Honolulu, HI",23,8,160
"Cincinnati, OH",34,41,158
"Hartford, CT",9,35,158
"El Paso, TX",45,102,157
"Eugene, OR",33,32,157
"Spokane, WA",33,92,157
"New York, NY",18,12,154
"Seattle, WA",40,38,154
"Memphis, TN",23,74,153
"Dallas, TX",67,42,152
"Wichita, KS",36,61,148
"Rochester, NY",17,14,147
"Tampa, FL",51,108,147
"Tulsa, OK",18,66,147
"Louisville, KY",36,6,146
"Baltimore, MD",24,25,145
TOTAL,32,42,144
"Atlanta, GA",60,38,143
"Sarasota, FL",51,277,140
"Albuquerque, NM",31,82,139
"Philadelphia, PA",20,54,139
"New Haven, CT",19,36,133
"Kansas City, MO",23,36,132
"Washington, DC",47,43,131
"Toledo, OH",5,36,130
"Allentown, PA",28,56,128
"St. Louis, MO",11,57,121
"Virginia Beach, VA",6,42,120
"Boston, MA",24,104,117
"Springfield, MA",7,26,109
"Chicago, IL",15,17,108
"Dayton, OH",20,55,101
"New Orleans, LA",-9,5,100
"Milwaukee, WI",15,81,95
"Pittsburgh, PA",-1,8,90
"Cleveland, OH",0,28,84
"Los Angeles, CA",6,12,83
"San Francisco, CA",8,-14,72
"Akron, OH",8,14,66
"Detroit, MI",-5,15,45
